TrackerModel,Age,Gender,EducationYears,MaritalStatus,DailySteps,FitnessRating,AnnualIncome,WorkoutHoursWeekly,ResidenceArea,DeviceUsageHours
Advanced,43,Male,14.0,Divorced,13758,2,21909,3.51,Suburban,1.95
Basic,38,Male,14.0,Single,4455,2,111239,0.54,Urban,2.87
Basic,39,Female,12.0,Single,6415,5,100032,2.52,Rural,0.88
Pro,24,Male,14.0,Married,8749,5,32062,0.63,Urban,2.1
Pro,31,Female,14.0,Divorced,7338,4,95386,4.89,Suburban,2.96
Pro,32,Male,16.0,Married,4553,2,185803,4.93,Urban,1.82
Basic,24,Female,14.0,Single,10865,1,156225,0.04,Rural,1.89
Basic,26,Female,12.0,Single,14460,2,161553,6.17,Urban,2.15
Advanced,25,Female,14.0,Married,8088,2,119270,8.49,Rural,1.72
Advanced,40,Female,12.0,Married,4787,3,86425,3.59,Rural,1.84
Basic,46,Female,14.0,Single,2853,3,104981,2.22,Urban,1.83
Advanced,35,Female,10.0,Married,8273,4,124470,9.15,Rural,1.69
Basic,48,Male,16.0,Married,10811,4,179277,0.86,Rural,2.61
Pro,47,Female,18.0,Married,8925,2,108887,3.54,Urban,2.23
Basic,56,Male,12.0,Married,7492,3,101542,3.86,Urban,2.13
Advanced,52,Male,16.0,Married,5732,2,195221,6.19,Suburban,2.4
Basic,35,Female,12.0,Single,4223,1,69112,4.22,Urban,1.87
Advanced,59,Male,18.0,Married,10004,3,162012,2.5,Urban,1.61
Advanced,56,Female,16.0,Single,10241,1,79010,1.6,Urban,1.7
Basic,34,Male,16.0,Married,2862,2,44485,2.82,Urban,2.0
Pro,31,Female,10.0,Single,12269,2,109299,1.49,Urban,1.47
Advanced,48,Male,14.0,Married,9222,3,125584,3.6,Urban,1.75
Pro,41,Female,16.0,Single,11698,3,152139,2.37,Rural,1.74
Pro,52,Female,12.0,Single,3473,2,40607,0.51,Suburban,3.06
Advanced,61,Female,16.0,Single,3402,4,81597,6.01,Urban,0.61
Pro,62,Female,12.0,Single,7053,2,94554,2.5,Suburban,1.91
Basic,51,Male,16.0,Married,9008,2,199593,0.96,Suburban,2.86
Basic,20,Female,12.0,Married,12889,3,35187,3.16,Rural,2.06
Basic,54,Male,16.0,Married,15541,3,23985,3.64,Urban,2.38
Basic,60,Male,14.0,Single,6771,5,194124,0.01,Urban,2.05
Basic,57,Male,10.0,Single,4420,2,170635,4.16,Rural,1.67
Basic,43,Female,12.0,Single,11190,3,198394,1.41,Rural,0.88
Pro,40,Male,10.0,Single,4605,3,71514,6.92,Suburban,2.1
Basic,61,Male,14.0,Married,12385,4,38608,4.55,Suburban,1.61
Basic,56,Male,12.0,Single,6646,1,91327,2.7,Urban,1.6
Advanced,32,Female,14.0,Single,12271,3,37221,2.01,Suburban,1.75
Basic,21,Female,12.0,Single,9536,3,68506,3.29,Urban,2.87
Pro,46,Male,12.0,Single,7089,2,40968,4.73,Urban,3.2
Basic,39,Female,16.0,Married,5941,2,147677,3.45,Rural,2.11
Pro,42,Female,10.0,Married,6477,2,179009,3.07,Urban,1.77
Advanced,30,Male,18.0,Single,8784,3,192903,3.62,Urban,1.41
Basic,35,Male,16.0,Single,7731,4,194005,2.29,Rural,2.23
Basic,50,Female,14.0,Single,5718,3,198379,2.81,Urban,2.89
Pro,33,Male,14.0,Single,7003,3,199412,0.0,Rural,1.88
Advanced,62,Female,16.0,Single,7735,3,122951,5.45,Rural,0.81
Advanced,59,Female,12.0,Divorced,1113,1,128306,4.1,Suburban,2.34
Advanced,61,Female,10.0,Married,8874,2,63601,1.95,Urban,2.49
Basic,19,Female,12.0,Married,4560,2,92178,7.3,Urban,1.21
Basic,52,Female,16.0,Single,4040,2,179826,3.67,Urban,2.09
Basic,59,Female,10.0,Single,2437,1,194382,1.43,Urban,2.23
Pro,51,Male,14.0,Married,15541,3,89893,5.21,Urban,1.96
Advanced,47,Male,14.0,Married,3433,2,106799,4.3,Rural,1.6
Basic,30,Female,16.0,Married,5372,2,68367,4.29,Urban,2.51
Basic,30,Female,14.0,Single,13359,2,33201,2.65,Suburban,1.8
Basic,35,Female,10.0,Married,5922,1,153811,4.4,Urban,1.26
Basic,49,Male,16.0,Single,8033,4,33231,2.98,Suburban,0.98
Advanced,49,Female,14.0,Married,8701,4,193567,4.61,Rural,2.63
Advanced,52,Male,12.0,Married,7893,3,172240,3.47,Urban,2.31
Pro,56,Female,10.0,Married,7267,1,183696,2.63,Urban,2.04
Advanced,63,Female,18.0,Single,3914,3,161707,6.94,Suburban,1.78
Basic,46,Male,14.0,Married,11852,4,29964,1.97,Suburban,1.74
Advanced,46,Male,16.0,Single,12921,3,178857,2.29,Suburban,1.46
Advanced,61,Female,16.0,Single,2452,1,32336,2.6,Urban,1.78
Advanced,33,Female,14.0,Single,4427,3,97475,1.07,Urban,0.94
Advanced,61,Female,14.0,Married,6660,4,178484,0.0,Rural,1.63
Advanced,64,Male,14.0,Single,4606,3,102212,3.04,Rural,1.84
Advanced,27,Male,12.0,Single,9017,3,95379,3.77,Urban,2.3
Advanced,47,Male,14.0,Married,5315,2,65591,3.39,Rural,1.98
Basic,42,Male,16.0,Single,13995,3,81750,3.21,Urban,2.4
Basic,56,Male,14.0,Married,11071,1,110648,3.59,Urban,2.67
Basic,37,Male,16.0,Single,8137,3,116134,5.55,Urban,2.53
Advanced,22,Female,14.0,Single,10580,1,186526,3.12,Urban,2.24
Basic,18,Female,14.0,Married,10817,2,118537,2.35,Suburban,2.01
Advanced,47,Male,14.0,Single,5808,2,82672,2.94,Urban,1.51
Pro,20,Female,14.0,Single,5051,3,47228,4.66,Urban,2.37
Basic,62,Female,16.0,Married,7734,1,34429,6.32,Suburban,2.84
Advanced,31,Male,12.0,Married,10084,3,104294,2.24,Suburban,2.17
Advanced,47,Female,14.0,Married,7917,3,135577,3.7,Suburban,2.96
Basic,21,Male,12.0,Single,2769,1,108074,4.18,Rural,1.24
Basic,35,Male,12.0,Single,5091,1,88936,1.51,Urban,1.42
Basic,54,Female,14.0,Married,7278,1,77378,3.54,Suburban,2.43
Basic,42,Male,14.0,Married,7273,4,57310,0.57,Suburban,2.13
Pro,18,Male,14.0,Married,13417,3,121827,0.0,Suburban,2.66
Pro,63,Male,14.0,Married,3342,2,186328,4.23,Urban,1.99
Advanced,32,Male,16.0,Married,9016,1,119862,2.73,Urban,1.57
Pro,26,Male,14.0,Single,11967,3,58889,3.47,Rural,1.89
Pro,32,Male,14.0,Single,14314,4,71428,3.46,Urban,1.23
Basic,41,Male,10.0,Married,6286,4,130502,1.55,Rural,1.44
Pro,21,Male,12.0,Single,8974,3,188279,3.41,Suburban,2.49
Advanced,29,Female,12.0,Single,9209,1,70255,1.03,Suburban,2.44
Pro,54,Female,14.0,Married,8086,1,125824,6.28,Rural,2.18
Pro,54,Female,10.0,Married,7203,1,25409,0.79,Suburban,1.14
Basic,60,Male,12.0,Single,8807,2,62438,3.47,Urban,1.82
Basic,23,Male,12.0,Single,1000,1,27869,1.42,Suburban,1.39
Basic,56,Female,14.0,Single,9546,2,45958,4.64,Rural,2.59
Advanced,63,Female,12.0,Married,7878,2,170840,3.47,Urban,1.71
Pro,41,Female,14.0,Divorced,6832,4,177217,2.46,Urban,1.46
Pro,28,Male,12.0,Single,13640,3,95622,5.21,Urban,2.01
Basic,30,Female,14.0,Single,5475,4,46442,3.56,Rural,1.68
Advanced,51,Female,12.0,Married,6290,3,101948,4.53,Urban,2.74
Advanced,42,Male,12.0,Single,13474,1,45596,1.54,Suburban,1.63
Basic,24,Female,14.0,Married,5003,3,95791,0.69,Urban,1.3
Basic,21,Male,10.0,Divorced,5849,2,62406,3.71,Urban,0.92
Basic,25,Male,10.0,Single,7058,3,60524,2.86,Suburban,1.98
Pro,37,Male,12.0,Married,10022,2,174404,4.75,Urban,1.72
Basic,46,Female,10.0,Single,8123,5,130160,3.34,Suburban,1.29
Advanced,62,Female,12.0,Single,3622,2,166836,3.91,Suburban,2.59
Advanced,63,Male,12.0,Married,5903,2,178635,0.25,Rural,2.33
Basic,27,Female,16.0,Single,5677,4,187442,7.28,Urban,1.99
Pro,60,Female,14.0,Divorced,7268,1,25062,3.17,Rural,2.68
Pro,51,Female,14.0,Married,8777,3,64645,4.9,Suburban,2.33
Basic,43,Female,12.0,Single,8754,3,142759,1.83,Rural,1.59
Advanced,58,Male,18.0,Single,2171,4,27244,4.12,Urban,1.48
Basic,20,Female,12.0,Single,10691,5,157444,0.89,Suburban,2.41
Basic,23,Male,10.0,Single,8257,5,105501,4.4,Rural,2.2
Basic,22,Male,14.0,Single,11653,1,137450,2.79,Rural,2.08
Advanced,22,Female,12.0,Single,8832,4,36956,3.56,Urban,1.58
Advanced,64,Male,12.0,Single,10803,3,191545,4.9,Urban,2.3
Basic,40,Female,14.0,Married,8899,3,164966,1.03,Urban,1.62
Basic,26,Female,16.0,Married,11538,1,36709,2.13,Urban,1.95
Pro,52,Male,14.0,Married,9066,3,138428,4.41,Urban,2.72
Basic,37,Male,16.0,Single,7206,5,35210,7.7,Urban,1.67
Basic,59,Male,14.0,Single,14317,4,122081,3.22,Rural,1.21
Advanced,52,Male,12.0,Married,10167,2,189746,4.68,Urban,1.47
Pro,35,Female,12.0,Single,9221,1,120025,3.29,Suburban,2.5
Basic,34,Female,12.0,Single,3671,2,168805,7.38,Urban,2.13
Advanced,41,Female,14.0,Married,3635,4,171152,0.01,Urban,1.94
Advanced,20,Male,14.0,Married,8378,3,144476,3.69,Urban,1.75
Basic,49,Male,18.0,Married,7936,2,190781,0.25,Urban,2.24
Advanced,52,Male,16.0,Single,5657,1,79846,0.0,Suburban,1.58
Basic,55,Female,14.0,Married,7922,2,85480,4.09,Rural,2.15
Advanced,30,Male,12.0,Married,12265,2,72960,3.78,Urban,1.63
Advanced,64,Female,16.0,Married,9586,4,192224,3.47,Urban,1.55
Advanced,42,Male,14.0,Married,4076,3,178322,3.29,Urban,1.68
Basic,26,Female,16.0,Married,7165,2,105765,9.7,Rural,1.81
Pro,21,Female,10.0,Married,5085,3,137265,2.98,Suburban,1.98
Basic,31,Male,14.0,Single,6336,1,68137,4.52,Suburban,2.12
Basic,54,Male,10.0,Married,6259,5,138922,2.2,Suburban,0.5
Basic,51,Female,12.0,Married,6067,2,141280,4.09,Rural,1.6
Advanced,28,Female,10.0,Married,3734,2,197484,3.02,Urban,1.8
Advanced,58,Male,14.0,Single,7117,2,63876,3.47,Urban,2.75
Basic,20,Male,14.0,Single,5818,3,114547,7.14,Rural,1.46
Advanced,45,Female,12.0,Married,1000,3,70227,5.85,Suburban,2.08
Basic,46,Male,12.0,Married,13658,3,183522,3.77,Suburban,2.75
Advanced,26,Female,14.0,Divorced,10766,2,104433,0.0,Suburban,1.34
Basic,20,Female,12.0,Married,6371,2,93704,2.78,Urban,2.2
Advanced,42,Male,12.0,Married,7556,1,26861,8.91,Suburban,1.6
Basic,51,Male,14.0,Married,3985,3,81914,3.04,Suburban,1.75
Pro,29,Male,16.0,Married,12587,1,83888,5.71,Urban,1.6
Basic,59,Male,10.0,Married,13191,3,99286,6.38,Suburban,1.63
Basic,26,Male,10.0,Married,7970,4,81293,3.94,Rural,3.36
Basic,32,Female,12.0,Single,10570,4,88515,1.82,Urban,2.42
Pro,57,Female,18.0,Single,8025,2,174596,0.0,Urban,2.55
Pro,42,Male,14.0,Married,3489,2,27065,4.87,Urban,2.25
Basic,22,Male,14.0,Single,6264,1,188756,1.87,Suburban,1.2
Advanced,28,Male,12.0,Single,7895,3,108720,3.85,Urban,2.2
Pro,51,Female,14.0,Single,6136,4,184437,1.0,Suburban,2.54
Advanced,41,Male,10.0,Single,6844,2,78876,2.97,Rural,1.57
Advanced,32,Male,14.0,Single,7225,2,174776,3.57,Urban,2.48
Basic,55,Female,18.0,Single,7257,4,156694,4.04,Rural,2.35
Basic,25,Female,14.0,Divorced,7656,4,103797,1.27,Rural,2.93
Pro,22,Male,16.0,Married,4318,2,111141,5.89,Urban,1.79
Pro,43,Male,16.0,Single,5348,3,122390,2.31,Urban,1.45
Advanced,35,Male,12.0,Single,3646,1,116856,0.15,Rural,1.82
Basic,23,Female,18.0,Married,10433,1,86201,3.28,Rural,2.72
Basic,54,Male,10.0,Single,1183,4,183766,3.57,Urban,1.09
Advanced,30,Male,14.0,Married,10960,4,109766,3.82,Urban,0.97
Pro,45,Male,12.0,Married,11659,3,42995,6.22,Urban,2.04
Pro,22,Female,10.0,Married,6593,1,112320,3.03,Rural,1.78
Advanced,30,Female,14.0,Single,1000,4,100141,3.26,Urban,2.0
Advanced,34,Male,12.0,Married,6416,2,159491,1.29,Suburban,2.47
Basic,57,Male,14.0,Single,7307,2,199024,5.14,Rural,1.72
Basic,62,Female,14.0,Divorced,4468,3,184909,3.87,Urban,1.06
Pro,49,Female,10.0,Married,5954,1,90799,2.66,Suburban,3.02
Advanced,46,Female,12.0,Single,12090,3,199949,0.0,Urban,1.5
Basic,20,Female,14.0,Single,9494,3,65687,6.39,Rural,1.47
Basic,57,Female,12.0,Single,4726,1,57276,1.04,Urban,2.55
Advanced,51,Female,16.0,Married,2707,1,54523,2.32,Suburban,1.81
Basic,57,Female,14.0,Single,6518,1,74615,4.22,Suburban,1.97
Basic,44,Female,16.0,Married,6859,1,30514,1.11,Urban,2.24
Advanced,30,Female,14.0,Single,8988,3,67456,0.51,Urban,2.54
Advanced,62,Male,14.0,Married,5894,4,27233,0.0,Urban,1.83
Advanced,50,Male,14.0,Married,9034,1,21102,4.94,Urban,2.76
Basic,23,Male,12.0,Married,13305,1,86133,2.41,Rural,0.93
Advanced,41,Female,12.0,Married,9946,3,66715,9.35,Rural,2.38
Basic,36,Male,16.0,Single,7355,4,130545,1.51,Urban,1.58
Basic,33,Female,14.0,Single,6950,2,124085,1.66,Suburban,2.69
Advanced,57,Female,16.0,Married,6429,2,129101,2.37,Suburban,2.07
Advanced,45,Male,16.0,Single,11041,3,157328,3.99,Rural,1.66
Pro,50,Female,16.0,Single,5618,2,128684,2.56,Urban,2.33
Advanced,58,Male,18.0,Single,7635,1,84800,4.72,Urban,2.45
Advanced,30,Male,14.0,Single,7653,3,114937,1.54,Urban,2.32
Basic,60,Male,12.0,Single,5994,3,61548,0.74,Suburban,1.49
Basic,62,Female,14.0,Married,15541,3,193439,0.0,Urban,1.76
Basic,42,Male,12.0,Single,8468,3,148845,0.0,Urban,2.0
Basic,59,Female,14.0,Married,7316,3,133815,2.46,Urban,1.98
Pro,53,Male,16.0,Single,9000,2,147602,2.9,Suburban,2.37
Basic,44,Male,14.0,Married,5899,2,146270,2.24,Urban,0.99
Pro,55,Male,12.0,Single,11162,1,146320,3.47,Urban,2.17
Advanced,24,Female,12.0,Married,4869,1,177277,5.96,Urban,1.86
Advanced,22,Female,14.0,Married,12636,3,45570,2.83,Urban,1.58
Advanced,60,Female,12.0,Single,2257,4,181327,3.47,Suburban,1.63
Advanced,62,Male,16.0,Divorced,8804,5,41182,2.37,Urban,1.89
Advanced,48,Male,12.0,Divorced,8926,3,59373,2.3,Urban,0.5
Basic,40,Female,12.0,Married,5113,1,63019,2.19,Suburban,1.65
Advanced,59,Female,10.0,Married,8773,1,36043,2.1,Urban,1.56
Basic,27,Female,14.0,Single,11338,4,196604,2.19,Urban,2.27
Basic,49,Female,14.0,Married,1000,3,39239,2.73,Rural,1.6
Advanced,60,Female,12.0,Single,9008,3,161488,2.23,Urban,1.89
Basic,47,Female,10.0,Single,1000,3,154484,3.92,Urban,2.77
Pro,56,Male,14.0,Divorced,4603,3,101976,4.22,Urban,2.5
Pro,48,Female,12.0,Single,12387,4,44406,1.68,Urban,2.45
Pro,35,Male,14.0,Married,5754,1,21875,6.04,Suburban,1.75
Basic,53,Male,14.0,Married,3978,3,188138,1.54,Suburban,2.27
Basic,19,Female,12.0,Married,6906,4,156824,0.26,Suburban,1.88
Pro,31,Female,12.0,Divorced,13703,2,152425,4.26,Urban,1.9
Advanced,30,Male,14.0,Single,2004,3,178058,1.87,Urban,2.2
Pro,46,Female,14.0,Single,4346,2,34691,3.47,Rural,1.7
Pro,29,Female,14.0,Single,11992,5,68075,0.0,Rural,2.75
Pro,56,Male,12.0,Single,13073,1,30794,6.28,Urban,1.92
Basic,19,Male,14.0,Single,7189,3,167478,4.84,Urban,2.31
Basic,49,Male,10.0,Single,3782,1,95930,0.5,Urban,2.73
Pro,30,Female,14.0,Married,13787,3,177944,0.54,Urban,2.52
Basic,63,Male,14.0,Married,12283,1,61708,6.84,Urban,1.3
Basic,44,Female,12.0,Single,9536,2,135492,2.03,Urban,2.22
Advanced,58,Male,10.0,Married,5062,2,126629,1.83,Suburban,2.43
Pro,34,Male,10.0,Single,7352,4,171872,0.0,Suburban,2.45
Advanced,57,Male,12.0,Single,7018,2,194469,2.8,Urban,1.44
Advanced,48,Female,12.0,Married,8492,1,143313,3.04,Urban,1.67
Basic,51,Female,10.0,Married,11853,3,188981,4.93,Rural,2.5
Advanced,41,Male,16.0,Married,10138,3,41352,0.7,Urban,1.62
Pro,62,Male,14.0,Single,4267,4,121975,0.46,Suburban,1.85
Basic,52,Male,12.0,Married,11629,1,113848,4.4,Urban,2.79
Advanced,23,Female,18.0,Married,8439,3,166510,5.51,Suburban,1.98
Pro,36,Male,12.0,Married,9561,2,64999,0.36,Urban,1.64
Advanced,47,Female,14.0,Married,11899,1,38482,5.66,Urban,1.56
Advanced,24,Male,12.0,Married,4165,3,183543,3.58,Urban,2.17
Advanced,27,Male,16.0,Married,7392,3,67279,5.68,Urban,1.33
Basic,58,Male,14.0,Married,5905,3,129413,3.47,Urban,1.88
Basic,49,Male,16.0,Divorced,2796,2,74213,0.0,Suburban,2.17
Pro,51,Male,14.0,Married,8540,2,133909,3.2,Urban,2.65
Pro,45,Male,12.0,Single,15034,2,33026,5.62,Urban,2.33
Pro,32,Female,14.0,Married,1979,5,105184,1.71,Suburban,1.64
Pro,47,Male,12.0,Single,7403,2,25435,2.72,Suburban,2.59
Advanced,54,Female,12.0,Single,9421,2,159565,3.15,Rural,1.85
Advanced,46,Male,12.0,Married,7869,2,79321,0.0,Suburban,1.38
Advanced,39,Male,14.0,Divorced,7160,3,153835,6.84,Urban,1.91
Advanced,21,Female,12.0,Divorced,3602,2,40389,1.7,Suburban,2.72
Advanced,37,Male,14.0,Single,8198,4,51498,4.51,Rural,2.08
Advanced,49,Female,14.0,Married,5229,2,83755,3.33,Rural,2.01
Pro,53,Female,16.0,Single,1000,4,121545,6.02,Urban,2.82
Basic,21,Male,16.0,Divorced,11083,1,55825,4.31,Urban,1.28
Basic,44,Female,14.0,Divorced,10375,3,36934,3.03,Urban,1.36
Basic,34,Female,12.0,Married,7654,4,25574,1.71,Suburban,1.19
Advanced,29,Male,12.0,Married,8187,1,150698,3.47,Suburban,2.19
Basic,39,Female,12.0,Married,10722,5,189251,0.0,Suburban,2.08
Advanced,34,Male,10.0,Married,8173,2,152659,4.79,Urban,2.77
Advanced,27,Male,12.0,Single,10212,4,62782,1.3,Suburban,2.12
Basic,18,Male,12.0,Single,6607,3,80561,6.0,Rural,1.8
Advanced,39,Male,14.0,Married,11435,2,155481,3.82,Urban,2.0
Basic,43,Female,14.0,Married,8462,1,147159,4.79,Suburban,2.06
Basic,35,Male,12.0,Single,8082,2,46751,3.66,Urban,1.16
Pro,31,Male,14.0,Divorced,3689,1,58174,0.0,Rural,3.36
Basic,64,Female,12.0,Single,8360,1,142678,1.78,Rural,2.26
Basic,46,Male,14.0,Married,5004,1,76572,4.84,Suburban,2.11
Advanced,29,Male,14.0,Married,5585,2,81416,3.83,Suburban,2.31
Advanced,53,Female,14.0,Married,5053,3,163113,5.86,Rural,2.35
Basic,52,Female,14.0,Married,4301,1,174299,4.31,Urban,1.93
Advanced,29,Female,14.0,Single,13874,1,55201,1.57,Urban,1.68
Basic,24,Female,16.0,Single,11494,3,56069,1.91,Suburban,2.3
Basic,46,Female,14.0,Married,13261,1,46370,3.71,Urban,2.19
Advanced,28,Female,14.0,Married,3831,1,145342,0.0,Urban,1.6
Advanced,50,Female,14.0,Single,7713,1,162658,6.85,Rural,2.71
Advanced,23,Male,12.0,Married,3619,4,145758,4.38,Suburban,2.15
Advanced,64,Female,12.0,Single,5412,4,156394,5.95,Urban,2.36
Pro,32,Female,10.0,Married,4745,2,85294,0.34,Urban,2.7
Advanced,49,Female,14.0,Married,11218,3,99468,5.99,Urban,2.01
Basic,28,Male,14.0,Single,6311,3,180371,7.96,Urban,2.16
Advanced,40,Male,12.0,Single,10705,3,110715,0.86,Urban,2.41
Basic,43,Female,14.0,Married,9312,3,90793,5.04,Suburban,1.64
Advanced,51,Female,18.0,Married,14410,3,197573,3.5,Urban,2.03
Basic,63,Female,16.0,Married,3061,2,131672,0.41,Urban,2.06
Basic,51,Male,14.0,Married,11277,1,160849,4.49,Urban,1.52
Pro,46,Male,16.0,Married,10939,2,162321,5.17,Rural,3.16
Pro,21,Female,12.0,Divorced,4579,4,140902,2.3,Urban,1.3
Advanced,34,Male,16.0,Married,10521,3,41390,5.83,Urban,1.35
Advanced,52,Female,12.0,Single,8508,4,40369,0.17,Urban,2.66
Basic,30,Male,16.0,Single,6817,5,163953,0.51,Suburban,2.36
Basic,58,Male,12.0,Single,5028,1,29587,3.77,Suburban,1.49
Basic,56,Female,16.0,Married,5342,3,127009,3.55,Urban,2.3
Advanced,32,Female,18.0,Single,13649,3,158905,2.07,Urban,2.73
Advanced,46,Female,12.0,Divorced,7502,5,67013,5.12,Urban,1.98
Advanced,46,Female,14.0,Married,9846,5,137341,4.56,Suburban,3.3
Basic,28,Male,14.0,Married,5127,3,147785,5.22,Suburban,1.14
Pro,49,Male,14.0,Single,5160,2,166826,3.25,Urban,2.35
Advanced,19,Male,16.0,Single,10745,3,127584,4.71,Urban,2.58
Advanced,64,Female,14.0,Single,3451,1,98113,2.61,Urban,2.45
Advanced,31,Male,12.0,Single,6254,3,106784,7.61,Urban,1.9
Advanced,37,Female,12.0,Single,7602,4,55282,1.87,Suburban,1.85
Basic,39,Male,12.0,Married,7834,2,187809,7.71,Urban,2.22
Basic,28,Female,16.0,Married,6962,3,44124,3.57,Urban,2.41
Advanced,44,Female,12.0,Married,8687,2,90102,0.75,Urban,2.3
Basic,20,Male,14.0,Married,9578,2,153268,6.24,Rural,2.52
Basic,34,Female,14.0,Single,9703,2,81527,3.75,Rural,1.49
Basic,61,Female,14.0,Married,4542,3,150371,5.2,Urban,1.89
Basic,45,Male,16.0,Married,6647,4,150942,5.95,Urban,1.53
Pro,46,Female,14.0,Single,11084,4,116651,4.18,Urban,1.81
Advanced,38,Female,14.0,Married,10183,1,105395,2.32,Urban,2.51
Advanced,64,Female,16.0,Single,3381,4,31345,5.45,Urban,2.05
Basic,33,Male,16.0,Married,8554,3,144544,3.5,Suburban,3.3
Advanced,54,Male,14.0,Divorced,1565,2,54077,4.87,Suburban,2.1
Advanced,37,Female,14.0,Single,7640,1,150429,0.0,Rural,2.03
Basic,23,Male,12.0,Married,13193,2,32055,4.39,Urban,2.05
Advanced,36,Female,12.0,Married,4656,4,123693,2.22,Rural,1.68
Basic,22,Female,16.0,Divorced,4997,3,105283,6.81,Suburban,1.97
Advanced,20,Female,14.0,Single,9792,3,64484,4.75,Urban,2.56
Advanced,18,Female,16.0,Married,2871,2,97514,3.98,Urban,2.06
Basic,55,Female,16.0,Single,5601,3,110135,4.47,Urban,1.6
Basic,32,Male,10.0,Single,9289,1,55771,1.5,Urban,1.54
Advanced,51,Female,16.0,Single,5597,2,197612,6.75,Urban,1.77
Advanced,52,Male,14.0,Divorced,6792,3,130284,7.48,Suburban,2.04
Pro,42,Male,14.0,Married,9732,1,137399,4.29,Urban,2.6
Advanced,41,Female,14.0,Married,8764,4,124885,6.68,Rural,1.33
Basic,29,Female,18.0,Divorced,15541,2,180449,2.36,Urban,1.84
Basic,35,Male,10.0,Single,6482,3,193805,1.91,Rural,2.07
Advanced,32,Male,14.0,Single,8610,2,149344,3.58,Urban,1.08
Basic,61,Male,14.0,Single,7128,3,162832,4.37,Suburban,1.58
Advanced,33,Female,16.0,Single,8873,1,133226,2.71,Urban,1.66
Pro,44,Male,14.0,Single,6009,1,119250,4.58,Urban,1.6
Advanced,25,Female,12.0,Single,15541,4,45762,4.11,Rural,2.1
Basic,63,Female,12.0,Single,4530,2,185404,1.5,Urban,1.92
Advanced,42,Female,12.0,Single,7394,4,191172,4.54,Suburban,1.72
Advanced,34,Male,16.0,Single,5066,5,156016,5.23,Suburban,2.21
Advanced,46,Female,12.0,Single,4157,2,68825,3.84,Urban,2.86
Pro,25,Female,12.0,Divorced,8275,2,33877,5.81,Urban,2.82
Basic,32,Female,14.0,Married,8138,3,181062,1.07,Suburban,1.04
Pro,44,Female,10.0,Divorced,9848,5,149065,4.44,Urban,2.29
Pro,63,Female,14.0,Single,6206,4,128443,1.16,Suburban,1.91
Basic,24,Male,14.0,Single,8724,3,119612,1.27,Rural,2.08
Basic,20,Female,16.0,Married,9152,3,137674,2.24,Urban,1.8
Basic,46,Female,12.0,Single,8834,1,135074,1.62,Urban,2.06
Basic,61,Male,10.0,Single,5023,5,154330,2.4,Suburban,2.08
Basic,41,Female,16.0,Single,7948,5,51629,3.07,Urban,1.71
Advanced,20,Male,16.0,Single,8592,1,188651,5.17,Urban,1.55
Basic,37,Female,16.0,Single,7521,2,174030,2.86,Urban,1.78
Basic,63,Male,12.0,Single,1240,1,190537,0.33,Suburban,2.12
